Date,temperature_c,humidity_percent,precipitation_mm,wind_speed_mps,PM 10,PM 2.5,O2,CO,O3,NO2,location
2023-01-01,26.22,88.52,18.86,2.77,32.529411764705884,0.0,22.47058823529412,13.0,14.0,1.0,Jakarta Barat
2023-01-02,26.64,87.11,10.95,3.97,25.526315789473685,0.0,28.157894736842103,13.421052631578949,16.526315789473685,1.6842105263157894,Jakarta Barat
2023-01-03,26.26,87.06,6.11,3.71,23.625,0.0,26.70833333333333,11.583333333333334,15.583333333333334,0.8333333333333334,Jakarta Barat
2023-01-04,26.17,88.44,9.73,3.35,24.31578947368421,0.0,29.789473684210527,12.578947368421051,15.105263157894736,1.0526315789473684,Jakarta Barat
2023-01-05,26.56,85.08,3.32,3.3,33.63636363636363,0.0,25.545454545454547,20.272727272727277,18.727272727272727,0.7272727272727273,Jakarta Barat
2023-01-06,26.98,84.55,2.06,3.64,23.181818181818183,0.0,21.318181818181817,12.0,18.09090909090909,1.0,Jakarta Barat
2023-01-07,26.99,85.49,1.72,3.6,19.2,0.0,18.85,10.65,11.8,0.0,Jakarta Barat
2023-01-08,26.79,85.56,3.78,3.61,20.125,0.0,22.58333333333333,10.208333333333334,11.708333333333334,0.0,Jakarta Barat
2023-01-09,27.23,82.87,1.94,2.65,19.40909090909091,0.0,22.318181818181817,10.045454545454543,15.409090909090908,0.2272727272727272,Jakarta Barat
2023-01-10,27.26,83.02,2.23,3.44,25.26315789473684,0.0,23.68421052631579,10.68421052631579,17.157894736842106,0.6842105263157895,Jakarta Barat
2023-01-11,27.71,80.42,2.3,2.89,32.10526315789474,0.0,23.105263157894736,15.052631578947368,11.210526315789474,0.0,Jakarta Barat
2023-01-12,27.39,80.59,3.99,1.63,41.6,0.0,24.55,18.75,31.65,5.15,Jakarta Barat
2023-01-13,27.57,82.48,5.2,1.46,,,,,,,Jakarta Barat
2023-01-14,27.17,83.41,7.84,1.74,,,,,,,Jakarta Barat
2023-01-15,27.65,81.8,1.12,3.53,,,,,,,Jakarta Barat
2023-01-16,27.09,84.68,1.01,3.37,,,,,,,Jakarta Barat
2023-01-17,26.59,86.16,7.74,2.36,,,,,,,Jakarta Barat
2023-01-18,26.35,85.99,5.52,2.62,51.285714285714285,0.0,47.0,19.0,23.571428571428573,6.857142857142857,Jakarta Barat
2023-01-19,25.86,90.27,4.87,3.1,53.54545454545455,0.0,43.27272727272727,18.727272727272727,24.13636363636364,5.5,Jakarta Barat
2023-01-20,26.88,83.36,2.15,2.68,35.1875,0.0,34.1875,12.125,26.0,3.6875,Jakarta Barat
