Date,temperature_c,humidity_percent,precipitation_mm,wind_speed_mps,PM 10,PM 2.5,O2,CO,O3,NO2,location
2023-01-01,26.22,88.52,18.86,2.77,47.294117647058826,57.11764705882353,47.8235294117647,9.647058823529411,22.88235294117647,8.647058823529411,Jakarta Pusat
2023-01-02,26.64,87.11,10.95,3.97,33.473684210526315,42.89473684210526,51.47368421052632,9.210526315789474,24.31578947368421,8.789473684210526,Jakarta Pusat
2023-01-03,26.26,87.06,6.11,3.71,31.33333333333333,36.375,49.5,9.333333333333334,14.958333333333334,7.666666666666667,Jakarta Pusat
2023-01-04,26.17,88.44,9.73,3.35,29.526315789473685,39.42105263157895,51.89473684210526,10.68421052631579,14.63157894736842,8.526315789473685,Jakarta Pusat
2023-01-05,26.56,85.08,3.32,3.3,38.0,51.27272727272727,50.18181818181818,12.272727272727272,25.09090909090909,11.363636363636363,Jakarta Pusat
2023-01-06,26.98,84.55,2.06,3.64,32.18181818181818,48.04545454545455,45.77272727272727,9.818181818181818,15.681818181818182,7.909090909090909,Jakarta Pusat
2023-01-07,26.99,85.49,1.72,3.6,24.95,41.4,43.8,10.35,9.1,5.2,Jakarta Pusat
2023-01-08,26.79,85.56,3.78,3.61,26.791666666666668,45.91666666666666,45.958333333333336,10.75,9.125,4.125,Jakarta Pusat
2023-01-09,27.23,82.87,1.94,2.65,26.727272727272727,41.0,46.90909090909091,9.636363636363637,11.954545454545457,5.2727272727272725,Jakarta Pusat
2023-01-10,27.26,83.02,2.23,3.44,35.473684210526315,44.8421052631579,46.73684210526316,11.0,20.05263157894737,7.368421052631579,Jakarta Pusat
2023-01-11,27.71,80.42,2.3,2.89,40.36842105263158,59.73684210526316,46.578947368421055,13.052631578947368,21.42105263157895,8.0,Jakarta Pusat
2023-01-12,27.39,80.59,3.99,1.63,53.45,70.8,48.55,11.95,27.65,13.4,Jakarta Pusat
2023-01-13,27.57,82.48,5.2,1.46,,,,,,,Jakarta Pusat
2023-01-14,27.17,83.41,7.84,1.74,,,,,,,Jakarta Pusat
2023-01-15,27.65,81.8,1.12,3.53,,,,,,,Jakarta Pusat
2023-01-16,27.09,84.68,1.01,3.37,,,,,,,Jakarta Pusat
2023-01-17,26.59,86.16,7.74,2.36,,,,,,,Jakarta Pusat
2023-01-18,26.35,85.99,5.52,2.62,56.42857142857143,75.28571428571429,55.85714285714285,11.571428571428571,9.428571428571429,11.714285714285714,Jakarta Pusat
2023-01-19,25.86,90.27,4.87,3.1,54.54545454545455,67.81818181818181,53.90909090909091,10.681818181818182,9.272727272727272,10.409090909090908,Jakarta Pusat
2023-01-20,26.88,83.36,2.15,2.68,42.5625,56.375,50.9375,9.0625,11.625,8.625,Jakarta Pusat
2023-01-21,26.91,85.05,3.93,3.06,40.95,58.3,29.6,16.2,10.6,18.55,Jakarta Pusat
2023-01-22,26.92,85.59,5.29,3.68,38.375,50.16666666666666,4.583333333333333,7.541666666666667,11.375,18.58333333333333,Jakarta Pusat
2023-01-23,26.85,85.7,4.68,3.74,24.30434782608696,28.39130434782609,5.391304347826087,5.434782608695652,13.173913043478262,12.347826086956522,Jakarta Pusat
2023-01-24,26.73,87.04,3.0,3.94,27.375,38.5,9.625,6.9375,10.1875,18.3125,Jakarta Pusat
2023-01-25,25.97,89.25,5.74,3.9,29.58333333333333,42.458333333333336,48.29166666666666,6.625,10.25,16.416666666666668,Jakarta Pusat
2023-01-26,25.99,88.66,3.67,2.74,39.5625,49.4375,47.625,8.1875,11.8125,21.25,Jakarta Pusat
2023-01-27,26.18,88.61,12.0,2.9,47.42857142857143,56.142857142857146,44.285714285714285,8.761904761904763,19.428571428571427,25.857142857142858,Jakarta Pusat
2023-01-28,26.48,87.21,14.01,2.19,45.80952380952381,48.71428571428572,41.285714285714285,5.047619047619048,14.714285714285714,26.19047619047619,Jakarta Pusat
2023-01-29,26.67,87.26,4.56,2.75,46.04545454545455,59.54545454545455,42.63636363636363,9.181818181818182,18.59090909090909,28.09090909090909,Jakarta Pusat
2023-01-30,26.84,86.85,2.14,3.32,36.285714285714285,54.142857142857146,44.0,8.857142857142858,19.285714285714285,25.857142857142858,Jakarta Pusat
2023-01-31,26.54,88.39,8.1,2.79,50.5,66.0,56.3,8.7,15.9,31.0,Jakarta Pusat
2023-02-01,26.44,87.25,5.0,2.46,,,,,,,Jakarta Pusat
2023-02-02,26.02,88.92,9.42,2.56,,,,,,,Jakarta Pusat
2023-02-03,26.29,83.86,2.97,2.67,,,,,,,Jakarta Pusat
2023-02-04,26.6,85.46,1.67,1.95,54.57142857142857,67.85714285714286,51.57142857142857,6.285714285714286,27.0,23.428571428571427,Jakarta Pusat
2023-02-05,26.96,85.09,1.17,2.65,47.30434782608695,59.04347826086956,45.52173913043478,5.304347826086956,26.869565217391305,17.043478260869566,Jakarta Pusat
2023-02-06,27.24,83.25,2.27,2.9,36.73684210526316,52.78947368421053,49.31578947368421,5.894736842105263,16.94736842105263,14.0,Jakarta Pusat
2023-02-07,26.26,86.86,4.93,2.47,40.94444444444444,51.22222222222222,50.61111111111112,6.388888888888889,15.055555555555555,20.38888888888889,Jakarta Pusat
2023-02-08,26.35,84.98,6.2,2.59,30.4375,38.0,40.5625,7.875,29.0,23.375,Jakarta Pusat
2023-02-09,26.92,84.17,3.69,3.62,31.13636363636364,44.77272727272727,38.81818181818182,6.454545454545454,15.090909090909092,19.181818181818183,Jakarta Pusat
2023-02-10,26.81,84.9,9.7,3.52,26.5,32.25,36.25,6.25,17.75,16.0,Jakarta Pusat
2023-02-11,26.0,89.85,35.53,2.6,35.25,39.0,35.75,6.25,20.75,19.25,Jakarta Pusat
2023-02-12,25.99,86.99,59.19,3.85,21.2,14.8,34.6,4.6,22.6,15.6,Jakarta Pusat
2023-02-13,26.58,84.15,6.63,3.78,26.0,22.666666666666668,34.333333333333336,4.666666666666667,23.33333333333333,12.666666666666666,Jakarta Pusat
2023-02-14,26.73,86.85,6.41,4.08,23.6,20.1,34.0,5.1,22.8,11.1,Jakarta Pusat
2023-02-15,26.54,86.61,13.1,3.76,21.83333333333333,22.5,34.5,6.0,17.0,11.666666666666666,Jakarta Pusat
2023-02-16,26.74,84.3,10.21,3.93,28.5,28.571428571428573,35.142857142857146,5.928571428571429,20.071428571428573,14.714285714285714,Jakarta Pusat
2023-02-17,26.5,86.2,5.86,2.85,28.83333333333333,34.083333333333336,35.0,5.166666666666667,17.833333333333332,17.916666666666668,Jakarta Pusat
2023-02-18,26.38,88.34,23.92,2.36,49.55555555555556,67.22222222222223,42.66666666666666,7.777777777777778,21.444444444444443,26.666666666666668,Jakarta Pusat
2023-02-19,26.6,87.81,7.1,2.68,55.81818181818182,72.72727272727273,39.0,7.818181818181818,26.272727272727277,25.09090909090909,Jakarta Pusat
2023-02-20,27.01,84.85,4.71,3.63,42.72727272727273,52.72727272727273,39.63636363636363,6.090909090909091,23.545454545454547,14.0,Jakarta Pusat
2023-02-21,26.32,88.26,6.27,3.31,26.5,34.666666666666664,38.583333333333336,6.833333333333333,20.416666666666668,14.583333333333334,Jakarta Pusat
2023-02-22,25.87,88.6,10.52,3.53,28.363636363636363,31.90909090909091,40.54545454545455,8.090909090909092,23.181818181818183,19.63636363636364,Jakarta Pusat
2023-02-23,26.41,89.03,27.0,3.47,34.22222222222222,43.333333333333336,39.77777777777778,4.444444444444445,22.33333333333333,22.33333333333333,Jakarta Pusat
2023-02-24,26.47,89.77,47.27,2.58,29.857142857142858,32.57142857142857,43.57142857142857,9.5,22.5,27.071428571428573,Jakarta Pusat
2023-02-25,25.48,87.55,35.02,2.59,34.9,45.5,44.2,9.1,27.1,29.7,Jakarta Pusat
2023-02-26,26.28,85.96,60.93,3.1,35.4,42.53333333333333,44.6,8.933333333333334,25.53333333333333,24.2,Jakarta Pusat
2023-02-27,26.25,89.69,23.62,4.03,23.5,24.2,29.9,7.9,22.9,17.3,Jakarta Pusat
2023-02-28,26.34,86.66,11.69,4.08,18.0,22.285714285714285,22.0,3.7142857142857135,7.857142857142857,12.714285714285714,Jakarta Pusat
2023-03-01,26.26,89.1,22.29,3.04,37.833333333333336,45.41666666666666,50.083333333333336,9.166666666666666,19.75,27.58333333333333,Jakarta Pusat
2023-03-02,25.9,89.58,13.3,3.14,31.77777777777778,35.44444444444444,47.22222222222222,10.22222222222222,20.33333333333333,25.77777777777778,Jakarta Pusat
2023-03-03,26.45,86.53,6.67,2.92,36.66666666666666,46.22222222222222,49.333333333333336,9.444444444444445,16.666666666666668,25.88888888888889,Jakarta Pusat
2023-03-04,26.49,87.13,13.82,3.27,33.4,42.5,49.3,6.3,18.2,22.6,Jakarta Pusat
2023-03-05,26.31,88.09,11.91,2.85,32.416666666666664,45.16666666666666,47.583333333333336,10.0,20.75,21.58333333333333,Jakarta Pusat
2023-03-06,26.64,86.48,3.88,3.3,32.09090909090909,43.63636363636363,46.63636363636363,9.636363636363637,20.0,19.818181818181817,Jakarta Pusat
2023-03-07,27.01,84.35,4.33,2.71,36.0,50.54545454545455,49.90909090909091,10.636363636363637,17.363636363636363,18.272727272727277,Jakarta Pusat
2023-03-08,26.58,83.6,9.25,1.83,41.0,55.55555555555556,51.0,11.333333333333334,18.444444444444443,23.88888888888889,Jakarta Pusat
2023-03-09,26.46,85.31,11.22,1.88,46.5,57.125,46.125,12.75,20.625,30.625,Jakarta Pusat
2023-03-10,27.39,82.35,10.12,1.62,42.333333333333336,57.888888888888886,45.888888888888886,12.11111111111111,14.77777777777778,28.55555555555556,Jakarta Pusat
2023-03-11,27.49,85.73,10.16,1.69,46.125,63.25,44.875,11.875,18.0,35.875,Jakarta Pusat
2023-03-12,27.57,83.54,7.94,1.34,58.36363636363637,80.72727272727273,46.72727272727273,12.545454545454543,19.0,36.45454545454545,Jakarta Pusat
2023-03-13,27.22,83.93,1.96,1.59,55.4,72.5,47.5,12.0,18.2,32.3,Jakarta Pusat
2023-03-14,26.66,86.75,12.08,2.66,51.66666666666666,65.33333333333333,46.75,11.416666666666666,18.08333333333333,31.25,Jakarta Pusat
2023-03-15,26.5,88.72,19.5,2.65,32.1,43.1,43.6,11.0,21.1,30.2,Jakarta Pusat
2023-03-16,27.28,81.84,0.68,1.54,54.3,74.8,45.3,14.5,21.8,42.7,Jakarta Pusat
2023-03-17,27.5,82.19,3.16,1.68,50.66666666666666,60.0,44.11111111111112,11.22222222222222,20.22222222222222,27.88888888888889,Jakarta Pusat
2023-03-18,27.37,82.88,2.77,1.52,45.0,59.0,44.5,11.875,16.5,33.25,Jakarta Pusat
2023-03-19,27.17,84.91,2.0,1.64,50.333333333333336,66.11111111111111,45.77777777777778,12.444444444444445,24.88888888888889,30.88888888888889,Jakarta Pusat
2023-03-20,27.6,80.6,5.05,1.26,,,,,,,Jakarta Pusat
2023-03-21,27.01,83.33,0.39,1.58,,,,,,,Jakarta Pusat
2023-03-22,27.68,81.86,1.88,1.65,,,,,,,Jakarta Pusat
2023-03-23,27.98,80.71,0.21,1.64,,,,,,,Jakarta Pusat
2023-03-24,27.93,79.08,0.52,1.68,,,,,,,Jakarta Pusat
2023-03-25,27.93,83.02,12.53,2.24,,,,,,,Jakarta Pusat
2023-03-26,27.77,83.02,11.63,2.04,,,,,,,Jakarta Pusat
2023-03-27,27.56,84.3,3.68,2.35,,,,,,,Jakarta Pusat
2023-03-28,27.34,84.43,4.3,1.5,,,,,,,Jakarta Pusat
2023-03-29,27.66,82.0,10.97,1.96,,,,,,,Jakarta Pusat
2023-03-30,27.18,82.84,5.6,2.82,,,,,,,Jakarta Pusat
2023-03-31,26.81,86.9,7.29,3.15,,,,,,,Jakarta Pusat
2023-04-01,26.72,87.55,7.53,3.47,,,,,,,Jakarta Pusat
2023-04-02,27.21,84.56,5.96,2.93,,,,,,,Jakarta Pusat
2023-04-03,27.16,82.07,3.14,3.2,,,,,,,Jakarta Pusat
2023-04-04,26.93,82.18,1.18,2.37,,,,,,,Jakarta Pusat
2023-04-05,27.74,78.87,1.06,2.82,,,,,,,Jakarta Pusat
2023-04-06,27.3,78.48,0.55,3.17,,,,,,,Jakarta Pusat
2023-04-07,27.3,75.55,1.3,1.75,,,,,,,Jakarta Pusat
2023-04-08,27.74,78.63,2.22,1.97,,,,,,,Jakarta Pusat
2023-04-09,27.27,83.49,5.69,2.72,,,,,,,Jakarta Pusat
2023-04-10,27.0,88.17,9.54,3.56,33.0,51.2,48.0,11.0,15.6,16.6,Jakarta Pusat
2023-04-11,27.62,84.78,2.05,3.71,27.0,46.46666666666667,47.0,11.133333333333333,14.466666666666669,15.333333333333334,Jakarta Pusat
2023-04-12,27.88,86.5,2.8,4.05,29.9,52.3,46.5,11.6,9.1,14.5,Jakarta Pusat
2023-04-13,27.73,86.21,1.49,3.46,27.08333333333333,48.0,45.41666666666666,10.75,10.666666666666666,14.833333333333334,Jakarta Pusat
2023-04-14,28.03,83.22,6.38,2.36,40.4,62.9,48.6,12.0,14.0,31.7,Jakarta Pusat
2023-04-15,27.6,84.82,6.23,2.45,64.91666666666667,85.83333333333333,51.75,12.833333333333334,24.08333333333333,47.25,Jakarta Pusat
2023-04-16,27.75,82.71,5.01,2.62,48.333333333333336,65.16666666666667,49.66666666666666,10.5,22.666666666666668,23.75,Jakarta Pusat
2023-04-17,28.03,80.39,2.59,2.09,42.333333333333336,58.41666666666666,48.75,11.0,19.166666666666668,22.916666666666668,Jakarta Pusat
2023-04-18,27.85,85.97,4.08,2.17,50.44444444444444,72.77777777777777,51.11111111111112,9.0,25.88888888888889,26.77777777777778,Jakarta Pusat
2023-04-19,27.68,87.63,4.08,1.58,50.45454545454545,71.0,49.27272727272727,9.636363636363637,31.90909090909091,26.90909090909091,Jakarta Pusat
2023-04-20,27.89,86.47,11.19,1.56,46.5,64.58333333333333,46.833333333333336,11.0,34.666666666666664,26.33333333333333,Jakarta Pusat
2023-04-21,27.65,85.99,2.02,1.98,48.15384615384615,69.46153846153847,45.53846153846154,9.384615384615383,37.76923076923077,23.615384615384617,Jakarta Pusat
2023-04-22,28.14,84.78,3.73,2.24,,,,,,,Jakarta Pusat
2023-04-23,27.89,88.17,4.29,2.34,,,,,,,Jakarta Pusat
2023-04-24,28.16,85.13,2.03,2.27,,,,,,,Jakarta Pusat
2023-04-25,27.91,83.53,1.76,2.0,,,,,,,Jakarta Pusat
2023-04-26,28.19,79.2,0.53,1.48,,,,,,,Jakarta Pusat
2023-04-27,28.3,81.08,3.14,2.19,,,,,,,Jakarta Pusat
2023-04-28,28.51,79.13,10.18,1.56,,,,,,,Jakarta Pusat
2023-04-29,28.04,78.7,0.57,1.25,,,,,,,Jakarta Pusat
2023-04-30,28.58,76.58,2.33,1.24,,,,,,,Jakarta Pusat
2023-05-01,28.72,78.78,73.88,1.2,,,,,,,Jakarta Pusat
2023-05-02,28.57,80.57,4.07,1.56,,,,,,,Jakarta Pusat
2023-05-03,28.33,86.06,9.39,2.3,,,,,,,Jakarta Pusat
2023-05-04,28.3,83.11,6.36,1.55,,,,,,,Jakarta Pusat
2023-05-05,28.68,81.65,7.46,1.16,,,,,,,Jakarta Pusat
2023-05-06,27.73,83.76,4.4,1.34,,,,,,,Jakarta Pusat
2023-05-07,28.07,81.46,7.45,1.18,,,,,,,Jakarta Pusat
2023-05-08,28.0,83.06,6.32,1.74,,,,,,,Jakarta Pusat
2023-05-09,28.47,80.56,1.25,1.41,,,,,,,Jakarta Pusat
2023-05-10,28.6,84.71,1.4,2.56,,,,,,,Jakarta Pusat
2023-05-11,28.29,87.65,3.91,3.68,,,,,,,Jakarta Pusat
2023-05-12,28.58,85.41,3.19,3.81,,,,,,,Jakarta Pusat
2023-05-13,28.58,84.68,13.14,1.6,,,,,,,Jakarta Pusat
2023-05-14,28.25,76.38,5.33,2.8,,,,,,,Jakarta Pusat
2023-05-15,28.06,74.79,0.14,1.89,,,,,,,Jakarta Pusat
2023-05-16,28.05,79.86,0.48,2.12,,,,,,,Jakarta Pusat
2023-05-17,28.02,80.79,0.21,2.53,,,,,,,Jakarta Pusat
2023-05-18,28.0,80.07,0.26,2.1,,,,,,,Jakarta Pusat
2023-05-19,27.84,81.57,0.26,2.05,59.888888888888886,90.33333333333331,52.0,11.88888888888889,24.55555555555556,32.44444444444444,Jakarta Pusat
2023-05-20,28.05,84.3,0.37,2.48,63.45454545454545,95.8181818181818,53.09090909090909,10.0,23.09090909090909,32.0,Jakarta Pusat
2023-05-21,28.56,78.7,1.78,1.97,65.18181818181819,98.45454545454544,52.09090909090909,10.545454545454543,28.09090909090909,26.454545454545453,Jakarta Pusat
2023-05-22,28.31,79.2,1.12,1.59,61.46153846153846,86.46153846153847,48.30769230769231,10.76923076923077,34.23076923076923,34.15384615384615,Jakarta Pusat
2023-05-23,27.86,80.17,1.87,2.09,37.71428571428572,56.285714285714285,28.285714285714285,5.857142857142857,16.285714285714285,16.857142857142858,Jakarta Pusat
2023-05-24,28.1,80.33,2.56,1.99,66.5,101.33333333333331,52.16666666666666,11.333333333333334,16.333333333333332,36.5,Jakarta Pusat
2023-05-25,28.3,78.21,4.73,2.03,65.72727272727273,95.72727272727272,51.72727272727273,13.0,26.181818181818183,31.454545454545453,Jakarta Pusat
2023-05-26,28.05,80.1,1.41,2.65,65.66666666666667,98.25,41.0,14.583333333333334,30.416666666666668,32.75,Jakarta Pusat
2023-05-27,27.83,80.33,2.3,2.0,66.72727272727273,97.54545454545456,40.81818181818182,10.818181818181818,31.90909090909091,26.545454545454547,Jakarta Pusat
2023-05-28,28.23,79.28,2.26,1.33,58.53846153846154,88.07692307692308,38.0,10.0,30.384615384615383,27.53846153846154,Jakarta Pusat
2023-05-29,28.19,81.09,2.78,1.64,62.785714285714285,96.71428571428572,38.0,11.785714285714286,28.571428571428573,29.642857142857142,Jakarta Pusat
2023-05-30,28.22,80.07,1.94,1.87,62.69230769230769,94.3846153846154,38.23076923076923,9.461538461538462,29.615384615384617,28.692307692307693,Jakarta Pusat
2023-05-31,28.31,78.7,0.44,1.6,60.833333333333336,89.66666666666667,37.333333333333336,9.833333333333334,30.33333333333333,34.333333333333336,Jakarta Pusat
2023-06-01,28.1,78.58,0.03,2.24,59.875,87.625,39.375,10.0625,27.125,29.875,Jakarta Pusat
2023-06-02,28.11,83.03,0.08,2.5,60.73333333333333,89.0,40.4,10.0,32.333333333333336,19.666666666666668,Jakarta Pusat
2023-06-03,28.21,84.47,0.57,2.2,61.333333333333336,90.33333333333331,41.0,9.333333333333334,31.33333333333333,18.33333333333333,Jakarta Pusat
2023-06-04,28.32,82.72,2.04,1.74,,,,,,,Jakarta Pusat
2023-06-05,27.68,86.05,4.16,1.51,,,,,,,Jakarta Pusat
2023-06-06,27.55,83.71,3.65,1.59,,,,,,,Jakarta Pusat
2023-06-07,27.66,83.9,2.22,2.29,,,,,,,Jakarta Pusat
2023-06-08,27.65,86.83,1.42,3.06,,,,,,,Jakarta Pusat
2023-06-09,28.03,83.15,0.82,2.5,56.0,75.0,43.0,13.0,15.0,23.0,Jakarta Pusat
2023-06-10,28.15,79.59,0.73,2.31,,,,,,,Jakarta Pusat
2023-06-11,27.85,78.99,0.04,2.58,,,,,,,Jakarta Pusat
2023-06-12,27.58,84.18,1.75,2.68,61.0,90.5,38.0,12.0,23.5,25.0,Jakarta Pusat
2023-06-13,27.95,87.73,5.05,2.79,57.0,81.8,43.8,10.0,20.0,28.0,Jakarta Pusat
2023-06-14,27.48,86.94,7.16,2.75,56.47619047619048,81.19047619047619,39.80952380952381,10.80952380952381,24.09523809523809,26.09523809523809,Jakarta Pusat
2023-06-15,27.25,86.24,6.0,2.73,58.625,88.125,39.8125,11.9375,19.875,32.1875,Jakarta Pusat
2023-06-16,26.88,85.24,13.87,1.99,56.95,79.4,37.45,11.3,27.5,24.65,Jakarta Pusat
2023-06-17,27.67,81.68,5.11,1.79,54.81818181818182,80.81818181818181,43.54545454545455,12.909090909090908,21.727272727272727,28.727272727272727,Jakarta Pusat
2023-06-18,27.61,85.51,4.38,1.98,58.71428571428572,88.28571428571429,45.07142857142857,10.857142857142858,23.142857142857142,28.714285714285715,Jakarta Pusat
2023-06-19,27.66,83.64,8.94,1.55,47.1578947368421,67.57894736842105,37.31578947368421,10.736842105263158,28.57894736842105,23.31578947368421,Jakarta Pusat
2023-06-20,27.38,82.22,1.69,1.76,52.38095238095238,74.52380952380952,39.285714285714285,13.904761904761903,27.285714285714285,28.52380952380953,Jakarta Pusat
2023-06-21,28.11,80.39,1.61,1.51,55.85714285714285,86.07142857142857,41.142857142857146,10.214285714285714,34.857142857142854,27.571428571428573,Jakarta Pusat
