Date,temperature_c,humidity_percent,precipitation_mm,wind_speed_mps,PM 10,PM 2.5,O2,CO,O3,NO2,location
2023-01-01,23.66,91.78,21.03,2.11,27.705882352941178,48.05882352941177,50.94117647058823,5.176470588235294,16.235294117647058,2.294117647058824,Jakarta Selatan
2023-01-02,23.9,90.72,5.68,2.84,24.05263157894737,40.89473684210526,51.0,5.0,16.842105263157894,2.736842105263158,Jakarta Selatan
2023-01-03,23.46,91.09,3.24,2.61,25.041666666666668,32.875,51.583333333333336,4.208333333333333,15.833333333333334,1.875,Jakarta Selatan
2023-01-04,23.31,91.55,9.57,2.13,29.473684210526315,40.73684210526316,53.10526315789474,4.894736842105263,14.68421052631579,2.9473684210526314,Jakarta Selatan
2023-01-05,23.53,89.52,3.34,2.17,40.09090909090909,59.90909090909091,53.18181818181818,10.090909090909092,18.0,6.545454545454546,Jakarta Selatan
2023-01-06,24.06,89.17,2.43,2.41,47.04545454545455,71.27272727272727,52.13636363636363,9.636363636363637,14.181818181818182,5.409090909090909,Jakarta Selatan
2023-01-07,24.39,88.57,1.2,2.39,49.55,67.15,51.0,6.6,10.3,3.0,Jakarta Selatan
2023-01-08,24.19,88.31,2.66,2.28,46.208333333333336,63.958333333333336,50.583333333333336,6.208333333333333,9.5,2.208333333333333,Jakarta Selatan
2023-01-09,24.4,87.71,1.46,1.81,47.77272727272727,71.04545454545455,50.95454545454545,8.5,9.545454545454543,4.2727272727272725,Jakarta Selatan
2023-01-10,24.36,86.98,0.81,2.29,46.94736842105263,66.73684210526316,50.26315789473684,7.631578947368421,8.894736842105264,5.526315789473684,Jakarta Selatan
2023-01-11,24.69,86.0,1.73,1.72,7.578947368421052,17.842105263157894,0.0,0.0,0.0,0.0,Jakarta Selatan
2023-01-12,25.19,83.97,2.13,0.9,44.15,71.2,53.6,8.8,22.25,2.5,Jakarta Selatan
2023-01-13,25.12,86.13,2.53,0.95,,,,,,,Jakarta Selatan
2023-01-14,25.06,84.53,2.25,1.26,,,,,,,Jakarta Selatan
2023-01-15,24.86,86.38,2.21,2.11,,,,,,,Jakarta Selatan
2023-01-16,24.48,88.27,0.59,2.04,,,,,,,Jakarta Selatan
2023-01-17,24.33,88.17,2.22,1.38,,,,,,,Jakarta Selatan
2023-01-18,24.13,88.62,3.11,1.47,55.71428571428572,80.42857142857143,55.42857142857143,9.571428571428571,7.285714285714286,2.2857142857142856,Jakarta Selatan
2023-01-19,23.5,92.12,1.93,1.56,44.40909090909091,66.31818181818181,55.59090909090909,9.136363636363637,6.181818181818182,2.8181818181818183,Jakarta Selatan
2023-01-20,24.26,87.22,2.57,1.7,58.25,80.25,52.1875,8.375,7.8125,1.875,Jakarta Selatan
2023-01-21,24.61,87.46,4.38,1.94,46.5,67.95,53.35,8.95,7.85,1.75,Jakarta Selatan
2023-01-22,24.61,88.11,7.59,2.41,44.41666666666666,65.16666666666667,53.04166666666666,7.291666666666667,8.166666666666666,1.4166666666666667,Jakarta Selatan
2023-01-23,24.67,87.26,3.76,2.33,30.869565217391305,53.43478260869565,52.69565217391305,6.0,8.826086956521738,1.0,Jakarta Selatan
2023-01-24,24.45,88.99,3.2,2.59,23.1875,32.0,52.0,5.0,9.0,0.125,Jakarta Selatan
2023-01-25,23.69,91.03,6.34,2.63,23.666666666666668,30.291666666666668,52.875,5.083333333333333,9.333333333333334,0.7916666666666666,Jakarta Selatan
2023-01-26,23.87,89.48,5.0,1.92,40.9375,63.5625,55.8125,8.875,10.625,1.9375,Jakarta Selatan
2023-01-27,23.84,90.63,9.53,1.84,57.23809523809524,74.95238095238095,56.61904761904762,8.285714285714286,11.571428571428571,2.095238095238096,Jakarta Selatan
2023-01-28,24.07,91.54,21.31,1.59,52.23809523809524,70.33333333333333,55.23809523809524,9.285714285714286,10.285714285714286,2.9047619047619047,Jakarta Selatan
2023-01-29,24.47,90.62,3.79,1.67,53.77272727272727,75.36363636363636,55.54545454545455,11.227272727272728,8.772727272727273,2.590909090909091,Jakarta Selatan
2023-01-30,24.61,89.77,0.86,1.92,58.85714285714285,77.57142857142857,54.142857142857146,9.0,11.857142857142858,2.0,Jakarta Selatan
2023-01-31,24.3,89.53,4.37,2.04,66.2,99.9,57.7,10.0,15.5,3.5,Jakarta Selatan
2023-02-01,24.0,88.75,6.72,1.88,,,,,,,Jakarta Selatan
2023-02-02,23.71,89.95,5.25,2.04,,,,,,,Jakarta Selatan
2023-02-03,23.71,87.22,0.82,2.16,,,,,,,Jakarta Selatan
2023-02-04,24.21,87.61,0.4,2.03,3.0,68.57142857142857,89.0,11.0,10.857142857142858,11.0,Jakarta Selatan
2023-02-05,24.37,87.09,0.68,2.32,8.565217391304348,62.69565217391305,81.78260869565217,9.826086956521738,11.695652173913045,8.956521739130435,Jakarta Selatan
2023-02-06,24.79,86.11,0.99,2.26,27.210526315789476,49.42105263157895,56.78947368421053,7.263157894736842,11.947368421052632,1.7894736842105263,Jakarta Selatan
2023-02-07,24.03,89.13,5.52,1.99,11.27777777777778,44.388888888888886,43.77777777777778,5.166666666666667,8.166666666666666,2.1666666666666665,Jakarta Selatan
2023-02-08,23.83,87.24,7.32,1.86,0.0,0.0,0.0,0.0,0.0,0.0,Jakarta Selatan
2023-02-09,23.66,87.77,3.81,2.82,24.772727272727277,40.81818181818182,54.0,7.681818181818182,8.0,3.3181818181818183,Jakarta Selatan
2023-02-10,24.15,88.78,9.57,2.5,26.0,40.75,52.5,6.75,10.25,1.0,Jakarta Selatan
