Date,temperature_c,humidity_percent,precipitation_mm,wind_speed_mps,PM 10,PM 2.5,O2,CO,O3,NO2,location
2023-01-01,26.22,88.52,18.86,2.77,45.8235294117647,60.76470588235294,56.23529411764706,15.117647058823527,20.235294117647054,17.470588235294116,Jakarta Utara
2023-01-02,26.64,87.11,10.95,3.97,35.78947368421053,45.1578947368421,58.31578947368421,15.052631578947368,22.31578947368421,19.26315789473684,Jakarta Utara
2023-01-03,26.26,87.06,6.11,3.71,28.83333333333333,33.5,57.125,12.958333333333334,21.70833333333333,16.375,Jakarta Utara
2023-01-04,26.17,88.44,9.73,3.35,29.94736842105263,42.42105263157895,59.1578947368421,16.894736842105264,19.94736842105263,25.0,Jakarta Utara
2023-01-05,26.56,85.08,3.32,3.3,36.45454545454545,53.90909090909091,56.45454545454545,25.272727272727277,22.181818181818183,34.63636363636363,Jakarta Utara
2023-01-06,26.98,84.55,2.06,3.64,30.545454545454547,45.54545454545455,55.63636363636363,14.818181818181818,18.90909090909091,20.545454545454547,Jakarta Utara
2023-01-07,26.99,85.49,1.72,3.6,23.25,40.9,55.4,11.85,15.7,14.0,Jakarta Utara
2023-01-08,26.79,85.56,3.78,3.61,26.291666666666668,55.5,56.0,10.125,17.583333333333332,11.5,Jakarta Utara
2023-01-09,27.23,82.87,1.94,2.65,25.5,48.90909090909091,56.36363636363637,9.272727272727272,18.63636363636364,13.636363636363637,Jakarta Utara
2023-01-10,27.26,83.02,2.23,3.44,34.31578947368421,51.8421052631579,56.42105263157895,10.421052631578949,20.157894736842103,21.31578947368421,Jakarta Utara
2023-01-11,27.71,80.42,2.3,2.89,39.0,60.1578947368421,57.578947368421055,16.36842105263158,24.105263157894736,26.26315789473684,Jakarta Utara
2023-01-12,27.39,80.59,3.99,1.63,66.2,87.1,59.65,18.55,38.35,33.45,Jakarta Utara
2023-01-13,27.57,82.48,5.2,1.46,,,,,,,Jakarta Utara
2023-01-14,27.17,83.41,7.84,1.74,,,,,,,Jakarta Utara
2023-01-15,27.65,81.8,1.12,3.53,,,,,,,Jakarta Utara
2023-01-16,27.09,84.68,1.01,3.37,,,,,,,Jakarta Utara
2023-01-17,26.59,86.16,7.74,2.36,,,,,,,Jakarta Utara
2023-01-18,26.35,85.99,5.52,2.62,69.57142857142857,70.28571428571429,63.71428571428572,16.428571428571427,15.285714285714286,30.142857142857142,Jakarta Utara
2023-01-19,25.86,90.27,4.87,3.1,63.59090909090909,67.27272727272727,59.72727272727273,19.13636363636364,15.136363636363637,31.318181818181817,Jakarta Utara
2023-01-20,26.88,83.36,2.15,2.68,35.9375,56.75,58.8125,13.0625,15.5625,22.9375,Jakarta Utara
2023-01-21,26.91,85.05,3.93,3.06,43.05,58.9,57.1,20.95,13.75,29.8,Jakarta Utara
2023-01-22,26.92,85.59,5.29,3.68,39.91666666666666,55.625,58.41666666666666,12.5,15.583333333333334,19.625,Jakarta Utara
2023-01-23,26.85,85.7,4.68,3.74,29.695652173913043,49.56521739130435,60.60869565217392,8.391304347826088,17.52173913043478,9.217391304347826,Jakarta Utara
2023-01-24,26.73,87.04,3.0,3.94,32.375,48.25,60.6875,10.75,16.25,13.6875,Jakarta Utara
2023-01-25,25.97,89.25,5.74,3.9,35.875,44.208333333333336,60.208333333333336,10.583333333333334,14.166666666666666,14.208333333333334,Jakarta Utara
2023-01-26,25.99,88.66,3.67,2.74,37.875,46.9375,47.0625,16.375,13.4375,21.1875,Jakarta Utara
2023-01-27,26.18,88.61,12.0,2.9,33.42857142857143,54.80952380952381,0.0,12.333333333333334,16.952380952380953,18.23809523809524,Jakarta Utara
2023-01-28,26.48,87.21,14.01,2.19,31.571428571428573,50.142857142857146,0.0,10.61904761904762,28.52380952380953,27.285714285714285,Jakarta Utara
